letter	frequency
Argentina	3.35
Australia	4.3
Austria	3.96
Belgium	4.35
Brazil	4.78
Britain	3.94
Canada	4.6
Chile	3.53
China	2.79
Colombia	3.04
Costa Rica	4.12
Czech Republic	3.06
Denmark	4.44
Egypt	2.59
Estonia	3.41
Euro area	4.21
Finland	5.06
France	4.51
Germany	4.17
Greece	3.69
Hong Kong	2.48
Hungary	3.15
India	2.41
Indonesia	2.36
Ireland	4.4
Israel	4.38
Italy	4.62
Japan	3.47
Malaysia	1.99
Mexico	2.37
Netherlands	3.8
New Zealand	4.22
Norway	5.51
Pakistan	3.58
Peru	3.02
Philippines	2.82
Poland	2.42
Portugal	3.36
Russia	2.05
Saudi Arabia	3.2
Singapore	4.01
South Africa	2.1
South Korea	3.86
Spain	3.85
Sri Lanka	3.63
Sweden	5.23
Switzerland	6.59
Taiwan	2.15
Thailand	3.4
Turkey	3.53
UAE	3.54
Ukraine	1.57
United States	5.04
Uruguay	4.08
Venezuela	3.38
Vietnam	2.69
